Name	Degree	betweenness_centrality	eigenvector_centrality
King	?	0.04867583396995162	0.310495915497257
Westmorland	?	0.0	0.153353083449317
Falstaff	?	0.1830404889228418	0.35952998867150393
Prince	?	0.3959129106187931	0.42060160105125677
Poins	?	0.0029708853238265	0.15167921726082517
Worcester	?	0.05461336049571343	0.2648203148369441
Northumberland	?	0.0	0.12873795585234415
Hotspur	?	0.3566972243442831	0.34025489624050026
Blunt	?	0.0	0.1606444526312756
1Carrier	?	0.0552584670231729	0.031666919558004485
Ostler	?	0.0	0.00445293320406302
2Carrier	?	0.0	0.03111792234995371
Gadshill	?	0.2107843137254902	0.1896347665907405
Chamberlain	?	0.0	0.02666498914593124
Bardolph	?	0.011734997029114675	0.2181209352406233
Peto	?	0.007575757575757575	0.20549659848748975
1Traveler	?	0.0017825311942959	0.13678407540640622
2Traveler	?	0.0017825311942959	0.13678407540640622
LadyPercy	?	0.0	0.047843110997548975
Servant	?	0.0	0.047843110997548975
Francis	?	0.0	0.08046834649305053
Vintner	?	0.0	0.05914073253876224
Hostess	?	0.0	0.14036462462735363
Sheriff	?	0.0	0.06881702641680776
3Carrier	?	0.0	0.06881702641680776
Mortimer	?	0.00089126559714795	0.09365826184511213
Glendower	?	0.0	0.06101236894181176
Douglas	?	0.014090484678719975	0.2269160607038087
1Messenger	?	0.0	0.08507931439315834
Vernon	?	0.0	0.11698581117208981
Archbishop	?	0.0	6.643325333751816e-10
SirMichael	?	0.0	6.643325333751816e-10
2Messenger	?	0.0	0.047843110997548975
3Messenger	?	0.0	0.047843110997548975
Lancaster	?	0.0	0.153353083449317
